name2	skill_level2	damage_a2	damage_magic2	damage_water2	damage_air2	damage_earth2	damage_fire2	damage_poison2	damage_ice2	damage_thunder2	damage_a_PERCENT2	damage_magic_PERCENT2	damage_water_PERCENT2	damage_air_PERCENT2	damage_earth_PERCENT2	damage_fire_PERCENT2	damage_poison_PERCENT2	damage_ice_PERCENT2	damage_thunder_PERCENT2	damage_c_PERCENT2	cost_hp2	cost_mp2	duration2	interval2	dot_dmg_a2	dot_dmg_magic2	dot_dmg_water2	dot_dmg_air2	dot_dmg_earth2	dot_dmg_fire2	dot_dmg_poison2	dot_dmg_ice2	dot_dmg_thunder2	dot_dmg_a_PERCENT2	dot_dmg_magic_PERCENT2	dot_dmg_water_PERCENT2	dot_dmg_air_PERCENT2	dot_dmg_earth_PERCENT2	dot_dmg_fire_PERCENT2	dot_dmg_poison_PERCENT2	dot_dmg_ice_PERCENT2	dot_dmg_thunder_PERCENT2	stun_time2	skill_rate2	aggrodoll_hp2	dot_damage_time2	death2	specific_skill_levelup2	Connection_TID2	Skill_Union2	Skill_Union_Control2	Max_Skill_Union2	bonus_drop_add_rate2	velocity2	ea_damage_physical2	ea_damage_magic2	ea_damage_water2	ea_damage_air2	ea_damage_earth2	ea_damage_fire2	ea_damage_poison2	ea_damage_ice2	ea_damage_thunder2	ea_damage_c2	ea_damage_physical_PERCENT2	ea_damage_magic_PERCENT2	ea_damage_water_PERCENT2	ea_damage_air_PERCENT2	ea_damage_earth_PERCENT2	ea_damage_fire_PERCENT2	ea_damage_poison_PERCENT2	ea_damage_ice_PERCENT2	ea_damage_thunder_PERCENT2	ea_damage_c_PERCENT2	FACTOR_POINT2	con2	str2	int2	dex2	cha2	wis2	movement2	hp2	mp2	sp2	ap2	agro2	max_hp2	max_mp2	max_sp2	atk_speed2	atk_range2	skill_cast2	skill_delay2	hit_rate2	evade_rate2	dodge_rate2	dmg_min_physical2	dmg_min_magic2	dmg_min_water2	dmg_min_air2	dmg_min_earth2	dmg_min_fire2	dmg_min_poison2	dmg_min_ice2	dmg_min_thunder2	dmg_max_physical2	dmg_max_magic2	dmg_max_water2	dmg_max_air2	dmg_max_earth2	dmg_max_fire2	dmg_max_poison2	dmg_max_ice2	dmg_max_thunder2	def_point_physical2	def_point_magic2	def_point_water2	def_point_air2	def_point_earth2	def_point_fire2	def_point_poison2	def_point_ice2	def_point_thunder2	physical_resistance2	physical_block2	skill_block2	FACTOR_PERCENT2	con2	str2	int2	dex2	cha2	wis2	movement2	hp2	mp2	sp2	ap2	agro2	max_hp2	max_mp2	max_sp2	atk_speed2	atk_range2	skill_cast2	skill_delay2	hit_rate2	evade_rate2	dodge_rate2	dmg_min_physical2	dmg_min_magic2	dmg_min_water2	dmg_min_air2	dmg_min_earth2	dmg_min_fire2	dmg_min_poison2	dmg_min_ice2	dmg_min_thunder2	dmg_max_physical2	dmg_max_magic2	dmg_max_water2	dmg_max_air2	dmg_max_earth2	dmg_max_fire2	dmg_max_poison2	dmg_max_ice2	dmg_max_thunder2	def_point_physical2	def_point_magic2	def_point_water2	def_point_air2	def_point_earth2	def_point_fire2	def_point_poison2	def_point_ice2	def_point_thunder2	physical_resistance2	physical_block2	skill_block2	ignore_physical_defence_percent2	ignore_attribute_defence_percent2	critical_defence_percent2	durability_percent2	durability_num2
<Summon>Pekki Lv 8	1																																																																																																																																																																																								
Pekki Lv 9	1																																																																																																																																																																																				8	8	8		
<Summon>Pekki Lv 9	1																																																																																																																																																																																								
Pekki Lv 10	1																																																																																																																																																																																				10	10	10		
<Summon>Pekki Lv 10	1																																																																																																																																																																																								
Talisman of Heavenly Luck	1																																																				100																																																																																																																																				
Zen Shield	1																																																																																																																																																																																						4		
	2																																																																																																																																																																																						6		
	3																																																																																																																																																																																						8		
	4																																																																																																																																																																																						10		
	5																																																																																																																																																																																						12		
	6																																																																																																																																																																																						14		
	7																																																																																																																																																																																						16		
	8																																																																																																																																																																																						18		
	9																																																																																																																																																																																						20		
	10																																																																																																																																																																																						20		
	11																																																																																																																																																																																						20		
	12																																																																																																																																																																																						20		
	13																																																																																																																																																																																						20		
	14																																																																																																																																																																																						20		
	15																																																																																																																																																																																						20		
Break Armor	1																																																																																																																																																																																								
	2																																																																																																																																																																																								
	3																																																																																																																																																																																								
	4																																																																																																																																																																																								
	5																																																																																																																																																																																								
	6																																																																																																																																																																																								
	7																																																																																																																																																																																								
	8																																																																																																																																																																																								
	9																																																																																																																																																																																								
	10																																																																																																																																																																																								
	11																																																																																																																																																																																								
	12																																																																																																																																																																																								
	13																																																																																																																																																																																								
	14																																																																																																																																																																																								
	15																																																																																																																																																																																								
	16																																																																																																																																																																																								
	17																																																																																																																																																																																								
	18																																																																																																																																																																																								
	19																																																																																																																																																																																								
	20																																																																																																																																																																																								
Swift	1																																																																																																																																																																																				2				
	2																																																																																																																																																																																				3				
	3																																																																																																																																																																																				4				
	4																																																																																																																																																																																				5				
	5																																																																																																																																																																																				6				
	6																																																																																																																																																																																				7				
	7																																																																																																																																																																																				8				
	8																																																																																																																																																																																				9				
	9																																																																																																																																																																																				10				
	10																																																																																																																																																																																				10				
	11																																																																																																																																																																																				10				
	12																																																																																																																																																																																				10				
	13																																																																																																																																																																																				10				
	14																																																																																																																																																																																				10				
	15																																																																																																																																																																																				10				
Rudolf Lv 1	1																																																																																																																																																																																				1	1			
<Summon>Rudolf Lv 1	1																																																																																																																																																																																								
Rudolf Lv 2	1																																																																																																																																																																																				1	1	1		
<Summon>Rudolf Lv 2	1																																																																																																																																																																																								
Rudolf Lv 3	1																																																																																																																																																																																				2	2	1		
<Summon>Rudolf Lv 3	1																																																																																																																																																																																								
Rudolf Lv 4	1																																																																																																																																																																																				3	3	3		
<Summon>Rudolf Lv 4	1																																																																																																																																																																																								
Rudolf Lv 5	1																																																																																																																																																																																				3	3	4		
<Summon>Rudolf Lv 5	1																																																																																																																																																																																								
Rudolf Lv 6	1																																																																																																																																																																																				4	4	5		
<Summon>Rudolf Lv 6	1																																																																																																																																																																																								
Rudolf Lv 7	1																																																																																																																																																																																				5	5	6		
<Summon>Rudolf Lv 7	1																																																																																																																																																																																								
Rudolf Lv 8	1																																																																																																																																																																																				7	7	7		
<Summon>Rudolf Lv 8	1																																																																																																																																																																																								
Rudolf Lv 9	1																																																																																																																																																																																				8	8	8		
<Summon>Rudolf Lv 9	1																																																																																																																																																																																								
Rudolf Lv 10	1																																																																																																																																																																																				10	10	10		
<Summon>Rudolf Lv 10	1																																																																																																																																																																																								
Moral Courage	1																																																																																																																																																																																						4		
	2																																																																																																																																																																																						6		
	3																																																																																																																																																																																						8		
	4																																																																																																																																																																																						10		
	5																																																																																																																																																																																						12		
	6																																																																																																																																																																																						14		
	7																																																																																																																																																																																						16		
	8																																																																																																																																																																																						18		
	9																																																																																																																																																																																						20		
	10																																																																																																																																																																																						20		
	11																																																																																																																																																																																						20		
	12																																																																																																																																																																																						20		
	13																																																																																																																																																																																						20		
	14																																																																																																																																																																																						20		
	15																																																																																																																																																																																						20		
	16																																																																																																																																																																																						20		
	17																																																																																																																																																																																						20		
	18																																																																																																																																																																																						20		
	19																																																																																																																																																																																						20		
	20																																																																																																																																																																																						20		
Mercoon Lv 1	1																																																																																																																																																																																				1	1			
<Summon>Mercoon Lv 1	1																																																																																																																																																																																								
Mercoon Lv 2	1																																																																																																																																																																																				1	1	1		
<Summon>Mercoon Lv 2	1																																																																																																																																																																																								
Mercoon Lv 3	1																																																																																																																																																																																				2	2	1		
<Summon>Mercoon Lv 3	1																																																																																																																																																																																								
Mercoon Lv 4	1																																																																																																																																																																																				3	3	3		
<Summon>Mercoon Lv 4	1																																																																																																																																																																																								
Mercoon Lv 5	1																																																																																																																																																																																				3	3	4		
<Summon>Mercoon Lv 5	1																																																																																																																																																																																								
Mercoon Lv 6	1																																																																																																																																																																																				4	4	5		
<Summon>Mercoon Lv 6	1																																																																																																																																																																																								
Mercoon Lv 7	1																																																																																																																																																																																				5	5	6		
<Summon>Mercoon Lv 7	1																																																																																																																																																																																								
Mercoon Lv 8	1																																																																																																																																																																																				7	7	7		
<Summon>Mercoon Lv 8	1																																																																																																																																																																																								
Mercoon Lv 9	1																																																																																																																																																																																				8	8	8		
<Summon>Mercoon Lv 9	1																																																																																																																																																																																								
Mercoon Lv 10	1																																																																																																																																																																																				10	10	10		
<Summon>Mercoon Lv 10	1																																																																																																																																																																																								
Ramda Lv 1	1																																																																																																																																																																																				1	1			
<Summon>Ramda Lv 1	1																																																																																																																																																																																								
Ramda Lv 2	1																																																																																																																																																																																				1	1	1		
<Summon>Ramda Lv 2	1																																																																																																																																																																																								
Ramda Lv 3	1																																																																																																																																																																																				2	2	1		
<Summon>Ramda Lv 3	1																																																																																																																																																																																								
Ramda Lv 4	1																																																																																																																																																																																				3	3	3		
<Summon>Ramda Lv 4	1																																																																																																																																																																																								
Ramda Lv 5	1																																																																																																																																																																																				3	3	4		
<Summon>Ramda Lv 5	1																																																																																																																																																																																								
Ramda Lv 6	1																																																																																																																																																																																				4	4	5		
<Summon>Ramda Lv 6	1																																																																																																																																																																																								
Ramda Lv 7	1																																																																																																																																																																																				5	5	6		
<Summon>Ramda Lv 7	1																																																																																																																																																																																								
Ramda Lv 8	1																																																																																																																																																																																				7	7	7		
<Summon>Ramda Lv 8	1																																																																																																																																																																																								
Ramda Lv 9	1																																																																																																																																																																																				8	8	8		
<Summon>Ramda Lv 9	1																																																																																																																																																																																								
Ramda Lv 10	1																																																																																																																																																																																				10	10	10		
<Summon>Ramda Lv 10	1																																																																																																																																																																																								
Abrahya Lv 1	1																																																																																																																																																																																				1	1			
<Summon>Abrahya Lv 1	1																																																																																																																																																																																								
Abrahya Lv 2	1																																																																																																																																																																																				1	1	1		
<Summon>Abrahya Lv 2	1																																																																																																																																																																																								
Abrahya Lv 3	1																																																																																																																																																																																				2	2	1		
<Summon>Abrahya Lv 3	1																																																																																																																																																																																								
Abrahya Lv 4	1																																																																																																																																																																																				3	3	3		
<Summon>Abrahya Lv 4	1																																																																																																																																																																																								
Abrahya Lv 5	1																																																																																																																																																																																				3	3	4		
<Summon>Abrahya Lv 5	1																																																																																																																																																																																								
Abrahya Lv 6	1																																																																																																																																																																																				4	4	5		
<Summon>Abrahya Lv 6	1																																																																																																																																																																																								
Abrahya Lv 7	1																																																																																																																																																																																				5	5	6		
<Summon>Abrahya Lv 7	1																																																																																																																																																																																								
Abrahya Lv 8	1																																																																																																																																																																																				7	7	7		
<Summon>Abrahya Lv 8	1																																																																																																																																																																																								
Abrahya Lv 9	1																																																																																																																																																																																				8	8	8		
<Summon>Abrahya Lv 9	1																																																																																																																																																																																								
Abrahya Lv 10	1																																																																																																																																																																																				10	10	10		
<Summon>Abrahya Lv 10	1																																																																																																																																																																																								
<Event> Critical Hit Defense Increase	1																																																																																																																																																																																						20		
Revin Lv. 1	1																																																																																																																																																																																				1	1			
<Summon> Revin Lv. 1	1																																																																																																																																																																																								
Revin Lv. 2	1																																																																																																																																																																																				1	1	1		
<Summon> Revin Lv. 2	1																																																																																																																																																																																								
Revin Lv. 3	1																																																																																																																																																																																				2	2	1		
<Summon> Revin Lv. 3	1																																																																																																																																																																																								
Revin Lv. 4	1																																																																																																																																																																																				3	3	3		
<Summon> Revin Lv. 4	1																																																																																																																																																																																								
Revin Lv. 5	1																																																																																																																																																																																				3	3	4		
<Summon> Revin Lv. 5	1																																																																																																																																																																																								
Revin Lv. 6	1																																																																																																																																																																																				4	4	5		
<Summon> Revin Lv. 6	1																																																																																																																																																																																								
Revin Lv. 7	1																																																																																																																																																																																				5	5	6		
<Summon> Revin Lv. 7	1																																																																																																																																																																																								
Revin Lv. 8	1																																																																																																																																																																																				7	7	7		
<Summon> Revin Lv. 8	1																																																																																																																																																																																								
Revin Lv. 9	1																																																																																																																																																																																				8	8	8		
<Summon> Revin Lv. 9	1																																																																																																																																																																																								
Revin Lv. 10	1																																																																																																																																																																																				10	10	10		
<Summon> Revin Lv. 10	1																																																																																																																																																																																								
Mark of the Common Champion	1																																																																																																																																																																																				10	15			
Mark of the Grand Champion	1																																																																																																																																																																																						15		
Fortune of Human	1																																																																																																																																																																																				5				
Fortune of Orc	1																																																																																																																																																																																					5			
newdragun Lv 1	1																																																																																																																																																																																				1	1			
<summon>newdragun Lv 1	1																																																																																																																																																																																								
newdragun Lv 2	1																																																																																																																																																																																				1	1	1		
<summon>newdragun Lv 2	1																																																																																																																																																																																								
newdragun Lv 3	1																																																																																																																																																																																				2	2	1		
<summon>newdragun Lv 3	1																																																																																																																																																																																								
newdragun Lv 4	1																																																																																																																																																																																				3	3	3		
<summon>newdragun Lv 4	1																																																																																																																																																																																								
newdragun Lv 5	1																																																																																																																																																																																				3	3	4		
<summon>newdragun Lv 5	1																																																																																																																																																																																								
newdragun Lv 6	1																																																																																																																																																																																				4	4	5		
<summon>newdragun Lv 6	1																																																																																																																																																																																								
newdragun Lv 7	1																																																																																																																																																																																				5	5	6		
<summon>newdragun Lv 7	1																																																																																																																																																																																								
newdragun Lv 8	1																																																																																																																																																																																				7	7	7		
<summon>newdragun Lv 8	1																																																																																																																																																																																								
newdragun Lv 9	1																																																																																																																																																																																				8	8	8		
<summon>newdragun Lv 9	1																																																																																																																																																																																								
newdragun Lv 10	1																																																																																																																																																																																				10	10	10		
<summon>newdragun Lv 10	1																																																																																																																																																																																								
kozzuro Lv 1	1																																																																																																																																																																																				1	1			
<summon>kozzuro Lv 1	1																																																																																																																																																																																								
kozzuro Lv 2	1																																																																																																																																																																																				1	1	1		
<summon>kozzuro Lv 2	1																																																																																																																																																																																								
kozzuro Lv 3	1																																																																																																																																																																																				2	2	1		
<summon>kozzuro Lv 3	1																																																																																																																																																																																								
kozzuro Lv 4	1																																																																																																																																																																																				3	3	3		
<summon>kozzuro Lv 4	1																																																																																																																																																																																								
kozzuro Lv 5	1																																																																																																																																																																																				3	3	4		
<summon>kozzuro Lv 5	1																																																																																																																																																																																								
kozzuro Lv 6	1																																																																																																																																																																																				4	4	5		
<summon>kozzuro Lv 6	1																																																																																																																																																																																								
kozzuro Lv 7	1																																																																																																																																																																																				5	5	6		
<summon>kozzuro Lv 7	1																																																																																																																																																																																								
kozzuro Lv 8	1																																																																																																																																																																																				7	7	7		
<summon>kozzuro Lv 8	1																																																																																																																																																																																								
kozzuro Lv 9	1																																																																																																																																																																																				8	8	8		
<summon>kozzuro Lv 9	1																																																																																																																																																																																								
kozzuro Lv 10	1																																																																																																																																																																																				10	10	10		
<summon>kozzuro Lv 10	1																																																																																																																																																																																								
<Title> CritDps 3	1																																																																																																																																																																																				5				
<Title> CritDps 4	1																																																																																																																																																																																				10				
<Title> CritDps 5	1																																																																																																																																																																																				15				
