ìŠ¤í‚¬ëª…	attribute	upgradable	check_range	target	range	requirement	condition	other_condition	arg1	arg2	arg3	arg4	arg_string	melee_attack	magic_attack	count	special_status	special_status_arg	move_pos	update_factor	reflect_melee_attack	reflect_magic_attack	reflect_heroic_attack	defense_melee_attack	defense_magic_attack	magic_resist_level_up	dispel_magic	transform_target	life_protection	dot	infect_around	add_spellcount	dmg_adjust	skill_factor_adjust	update_combat_point	regen_hp	convert_type	charge	skill_levelup	product	twice_packet	auto_attack	dynamic_target	action_on_action	at_field	summons	action_passive	duration_type	limited_max_level	release_target	visible_effect_type	game_bonus	item_use_type	cash	level_diff_type	detect	ride	game_effect	force	divide	resurrection	skill_union	target_restriction	disturb	downtime_id	downtime_duration	applied_cooldown_cap
Iron Staff	9	1	2	111	1	9														10																																															
Storm Bite	21	1	1	1	1304	1	1000							101			25			10																					2																							2			
Dread Assault	21	1	1	1	1304	1	1000							101			22			10																					2																							15			
Spiral Vision	10	1	2	100	1	1														10																					2																										
Black Staff Disease	21	1	1	1	304	1	1000							101			23			10																					2																										
Soul Bane	21	1	1	1	202	1								101						10																					2																										
Terrible Scale	9	1	2	111	1	1														10																																															
Cruel Slash	1	1	1	1	202	1								101																											1																										
Battle Focus	10	1	2	100	303	1														10																					2																										
Violent Crusher	1	1	1	1	304	1								101																											1																										
Insane Howling	9	1	2	111	1	1														10																																															
Frightful Sight	21	1	1	1	202	1	1000							101			22			10																					2																							15			
Forced Battle	21	1	1	1	202	1								101					3	10																					2																						1				
Indomitable Soul	10	1	2	100	303	1														10																					2																										
Cry of Disorder	21	1	1	1	304	1	1000							101			21			10																					2																							11			
Ultimate Rage	10	1	2	100	1	1														10																					2																										
Nimble Mobility	9	1	2	111	1	12														10																																															
Acrobatic Shot	1	1	1	1	1304	1								101																											1																										
Dangerous Position	10	1	2	100	303	1														10																					2																										
Tricky Shot	1	1	1	1	1404	1								101																											1																										
Bloody Walk	9	1	2	111	1	12														10																																															
Painting Attack	21	1	1	1	1304	1	1000							101			21			10																					2																							11			
Crimson Eye	21	1	1	1	1304	1	1000							101			24			10																					2																							2			
Enemy Bane Stance	10	1	2	100	1	1											0			10																					2																										
Shrinking Snake Shot	21	1	1	1	1404	1	1000							101			25			10																					2																							2			
Exquisite Pain	10	1	1	100	303	1														10																					2																										
Nightmare Vision	9	1	2	111	1	10														10																																															
Soul Burn	1	1	1	1	1304	1								101																											1																										
Crown of Madness	10	1	2	110	5	1														10																			2		2																										
Dark Firewood	1	1	1	1	1404	1								101																											1																										
Shroud of Darkness	9	1	2	111	1	10											0			10																																															
Venomous Bite	21	1	1	1	1404	1	1000							101			23			10																					2																										
Life Black Fire	21	1	1	1	1304	1	1000							101			20			10																					2																							10			
Ruins of Horror	10	1	2	111	303	1											0			10							64														2																							1015			
Zone of Terrible Corpses	21	1	1	1	1404	1	1000							101			22			10																					2																							15			
Deadman Awaken	10	1	1	100	1	1			2											10																					2			3																							
Indomitable Dagger	9	1	2	111	1	15														10																																															
Deadly Piercing	1	1	1	1	202	1								101																											1																										
Fortitude Soul	10	1	2	100	303	1														10																					2																										
Precision Sword Rush	1	1	1	1	1404	1								101																											1																										
Frontline Step	9	1	2	111	1	15														10																																															
Extreme Blade	21	1	1	1	202	1								101					3	10																					2																						1				
Sudden Twist Attack	21	1	1	1	304	1	1000							101			21			10																					2																							11			
Steadfast Sword	10	1	2	100	303	1											0			10														0							2																										
Myriad Crescent Slashing	21	1	1	1	304	1	1000							101			25			10																					2																							2			
Soul of the Impossible Weapon	21	1	1	1	304	1	1000							101			22			10																					2																							15			
Evade Slashing.	9	1	2	111	1	13											0			10														0																																	
Slasher Shot	1	1	1	1	1304	1								101																											1																										
Forest Soul Barrier	10	1	2	111	303	1														10																					2																										
Howling Blood Strike	1	1	1	1	1304	1								101																											1																										
Quick Reload	9	1	2	111	1	13														10																																															
Rage Tornado	21	1	1	1	1304	1	1000							101			24			10																					2																							2			
Hail of Thorns	21	1	1	1	1404	1	1000							101			20			10																					2																							10			
Ranger's Quarry	10	1	2	110	1	1														10																					2																										
Eye of the Red Ranger	21	1	1	1	1304	1	1000							101			22			10																					2																							15			
Unstoppable Fierce Shot	10	1	1	100	1	1														10																					2																										
Elemental Magi	9	1	2	111	1	14														10																																															
Fiery Crab	1	1	1	1	1304	1								101																											1																										
Blessing Elemental	10	1	2	110	5	1														10																			2		2																										
Cloud of Frost	1	1	1	1	1404	1								101																											1																										
Elemental Rejuvenation	9	1	2	111	501	14											0			10																																															
Elemental Tentacle	21	1	1	1	1404	1	1000							101			20			10																					2																							10			
Spectral Storm	21	1	1	1	1304	1	1000							101			21			10																					2																							11			
Iron Protector	10	1	2	111	303	1											0			10							64														2																							1002			
Prismatic Chain	21	1	1	1	1404	1	1000							101			23			10																					2																										
Absolute Territory	10	1	1	100	1	1			2											10																					2			3																							
Warding Slayer	9	1	2	111	1	17														10																																															
Brilliant Barrage	1	1	1	1	202	1								101																											1																										
Powerful Light	10	1	2	110	1	1														10																					2																										
Delayed Blow	1	1	1	1	304	1								101																											1																										
Rule of the Slayer	9	1	2	111	1	17														10																																															
Shrinking Punch	21	1	1	1	202	1	1000							101			25			10																					2																							2			
Daylight Smite	21	1	1	1	1404	1	1000							101			21			10																					2																							11			
Hand of Justice	10	1	2	111	303	1											0			10							64														2																							1011			
Restrained Strike	21	1	1	1	304	1	1000							101			20			10																					2																							10			
Challenge the Justice	10	1	2	100	1	1														10																					2																										
Pardon of Vice	9	1	2	111	1	18														10																																															
Fiery Shot	1	1	1	1	1304	1								101																											1																										
Dragon Boon	40	1	2	111	303	1											0			10							64														2																							1015			
Brand of Crime	1	1	1	1	1404	1								101																											1																										
Punishing Crime	9	1	2	111	1	18														10														0																																	
Resounding Destroyer	21	1	1	1	1304	1	1000							101			20			10																					2																							10			
Lightning Frenzy Assault	21	1	1	1	1304	1	1000							101			24			10																					2																							2			
Elemental Rescue	10	1	2	100	303	1											0			10																					2																										
Withering Night Shot	21	1	1	1	1404	1	1000							101			25			10																					2																							2			
Victim's Repose	21	1	1	1	202	1			2					101						10										10001		1									2																										
Scale Protection	9	1	2	111	1	17														10																																															
Iron Claw Boom	1	1	1	1	304	17								101																											1																										
Over the Dragon	10	1	2	110	1	17														10																					2																										
Crushing Rip Attack	1	1	1	1	1404	17								101																											1																										
Blood Vein	9	1	2	111	1	17														10																																															
Frightful Wingover	21	1	1	1	1304	17	1000							101			22			10																					2																							15			
Oppressive Blow	21	1	1	1	304	17	1000							101			25			10																					2																							2			
Dragon Presence	10	1	2	100	303	17														10																					2																										
Elemental Maelstrom	21	1	1	1	1304	17	1000							101			23			10																					2																										
Obliterating Breath	10	1	2	100	1	17														10																					2																										
<Title> Novice Knight	10	2	2	100	1															10																																	1	1													
<Title> Apprentice Warrior	10	2	2	100	1															10																																	1	1													
<Title> Novice Archer	10	2	2	100	1															10																																	1	1													
<Title> Apprentice Archer	10	2	2	100	1															10																																	1	1													
<Title> Novice Mage	10	2	2	100	1															10																																	1	1													
<Title> Apprentice Mage	10	2	2	100	1															10																																	1	1													
<Title> Mightthesis' Energy	10	2	2	100	1															10																																	1	1													
<Title> Mightthesis' Touch	10	2	2	100	1															10																																	1	1													
<Title> Mightthesis' Protection	10	2	2	100	1															10																																	1	1													
<Title> Mightthesis' Blessing	10	2	2	100	1															10																																	1	1													
<Title> Mightthesis' Endurance	10	2	2	100	1															10																																	1	1													
<Title> Energy of the Dragon	10	2	2	100	1															10																																1	1														
Scion's Blessing	10	2	2	100	1																																											2			1	1		1													
<Title> Oath of Honor																																																																			
Mark of the Junior Champion	10	2	2	100	1															10																																															
Mark of the Common Champion	10	2	2	100	1															10	12																																														
Mark of the Grand Champion	10	2	2	100	1															10				4																																											
Santa's Socks	10	2	2	100	1															10																																															
Santa's Hat	10	2	2	100	1															10																																															
Santa's Gloves	10	2	2	100	1															10																																															
<Title> Christmas Miracle	10	2	2	100	1															10																																4	1	1													
Elit Avatar	10	2	2	100	1		1000													10																			1									2				1		1													
chatbuff01	10	2	2	100	1															10																																															
chatbuff02	10	2	2	100	1															10																																															
chatbuff03	10	2	2	100	1															10																																															
chatbuff04	10	2	2	100	1															10																																															
chatbuff05	10	2	2	100	1															10																																															
<summon>T Pet																																																																			
T Pet	210	2	2	100	1															10																										8		2						1					1								
<MOB>Labolas01																																																																			
<MOB>Labolas02																																																																			
<MOB>Orobas01																																																																			
<MOB>Pozaak01																																																																			
<MOB>Pozaak02																																																																			
<MOB>Nujaacon01																																																																			
<MOB>Megaloprepis01																																																																			
<MOB>Megaloprepis02																																																																			
<MOB>Megaloprepis03																																																																			
<MOB>Efkamptos01																																																																			
<MOB>Oriax01																																																																			
<MOB>Eveliktos01																																																																			
<MOB>Marax01																																																																			
<MOB>Savnock01																																																																			
heroic	10	2	2	100	1		1000													10																												2				7		1													
Absolute Territory <Additional Effect>	20	1	1	1	202	1	2000							101						10										10001																							1														
Deadman Awaken <Additional Effect>	20	1	1	1	202	1	2000							101						10										10001																							1														
Fortune of Moonelf	10	2	2	100	1															10																																1															
<Item>Chap Rice	10	2	2	100	1															10																																															
<Item>SSook	10	2	2	100	1															10																																															
<Item>Flower Rum	10	2	2	100	1															10																																															
<Item>Flower Dan	10	2	2	100	1															10																																															
Rage High Avatar	10	2	2	100	1		1000													10																												2				15		1													
Rage Low Avatar	10	2	2	100	1		1000													10																												2				15		1													
Defense Master <Additional Effect>																																																																			
Combat Master <Additional Effect>																																																																			
SoccerBall	10	2	2	100	1															10																																															
TestCharisma	10	2	2	100	1															10																																16															
Fortune of Human	10	2	2	100	1															10	4																															1															
Fortune of Orc	10	2	2	100	1															10	8																															1															
awaken200	10	2	2	100	1																																											2			1	3		1													
Fortune of Rainover	20010	2	2	101	201																																															7															
Favor of Teacher	20010	2	2	101	201															10																																8															
Grand Master	20010	2	2	101	201															10																																8															
Wise Student	20010	2	2	101	201																																															5															
Charisma Double	10	2	2	100	1															10																																16															
Aura of Chicken	20010	2	2	101	201															10																																															
Songfun	10	2	2	101	1															10																																															
Dualsword	210	2	2	100	1	1																																								6													1								
<Summon>Dualsword																																																																			
Assasin	210	2	2	100	1	1																																								6													1								
<Summon>Assasin																																																																			
Bulundog	210	2	2	100	1	1																																								6													1								
<Summon>Bulundog																																																																			
Bulundog W	210	2	2	100	1	1																																								6													1								
<summon>Bulundog W																																																																			
Pumpkin Head	10	2	2	100	1															10																												2				7		1													
Pumpkin Head Real	10	2	2	100	1															10																												2				7		1													
potion exp up	20010	2	2	100	1															10																																1															
event buff money up	10	2	2	100	1															10																																2															
Pumpkin Head Real 5hour	10	2	2	100	1															10																												2				7		1													
Pumpkin Head 14day	10	2	2	100	1		1000													10																			1									2				7		1													
Pumpkin Head 30day	10	2	2	100	1		1000													10																			1									2				7		1													
roast turkey	10	2	2	100	1															10																																3															
attack7item	10	2	2	100	1															10																																															
defense7item	10	2	2	100	1															10																																															
<Title>goddessoflucky	20010	2	2	101	201															10																																12	1														
<Title>backwarrior	20010	2	2	101	201															10																																	1														
<Title>greatspirit	20010	2	2	101	201															10																																	1														
pcbangdevil	10	2	2	100	1															10																												2				7		1													
chat_hp30	10	2	2	100	1															10																																															
chat_dmg10	10	2	2	100	1															10																																															
chat_def10	10	2	2	100	1															10																																															
chat_mp30	10	2	2	100	1															10																																															
drop2020	10	2	2	100	1															10																																12															
drop4040	10	2	2	100	1															10																																12															
drop6060	10	2	2	100	1															10																																12															
drop8080	10	2	2	100	1															10																																12															
drop100100	10	2	2	100	1															10																																12															
dragun Lv 1	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>dragun Lv 1																																																																			
dragun Lv 2	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>dragun Lv 2																																																																			
dragun Lv 3	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>dragun Lv 3																																																																			
dragun Lv 4	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>dragun Lv 4																																																																			
dragun Lv 5	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>dragun Lv 5																																																																			
dragun Lv 6	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>dragun Lv 6																																																																			
dragun Lv 7	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>dragun Lv 7																																																																			
dragun Lv 8	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>dragun Lv 8																																																																			
dragun Lv 9	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>dragun Lv 9																																																																			
dragun Lv 10	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>dragun Lv 10																																																																			
newdragun Lv 1	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>newdragun Lv 1																																																																			
newdragun Lv 2	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>newdragun Lv 2																																																																			
newdragun Lv 3	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>newdragun Lv 3																																																																			
newdragun Lv 4	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>newdragun Lv 4																																																																			
newdragun Lv 5	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>newdragun Lv 5																																																																			
newdragun Lv 6	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>newdragun Lv 6																																																																			
newdragun Lv 7	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>newdragun Lv 7																																																																			
newdragun Lv 8	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>newdragun Lv 8																																																																			
newdragun Lv 9	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>newdragun Lv 9																																																																			
newdragun Lv 10	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>newdragun Lv 10																																																																			
kozzuro Lv 1	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>kozzuro Lv 1																																																																			
kozzuro Lv 2	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>kozzuro Lv 2																																																																			
kozzuro Lv 3	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>kozzuro Lv 3																																																																			
kozzuro Lv 4	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>kozzuro Lv 4																																																																			
kozzuro Lv 5	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>kozzuro Lv 5																																																																			
kozzuro Lv 6	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>kozzuro Lv 6																																																																			
kozzuro Lv 7	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>kozzuro Lv 7																																																																			
kozzuro Lv 8	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>kozzuro Lv 8																																																																			
kozzuro Lv 9	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>kozzuro Lv 9																																																																			
kozzuro Lv 10	210	2	2	100	1															10	12			4																						8		2						1					1								
<summon>kozzuro Lv 10																																																																			
chat_money100	10	2	2	100	1															10																																2															
<Title> Ele/Dim 1	10	2	2	100	1															10																																	1	1													
<Title> Ele/Dim 2	10	2	2	100	1															10																																	1	1													
<Title> Novice Knight_1716	10	2	2	100	1															10																																	1	1													
<Title> Novice Knight_1717	10	2	2	100	1															10																																	1	1													
<Title> Novice Knight_1718	10	2	2	100	1															10																																	1	1													
Demonic Aura Lv1	10	2	2	100	1															10																																1															
Demonic Aura Lv2	10	2	2	100	1															10																																1															
Demonic Aura Lv3	10	2	2	100	1															10																																1															
Demonic Aura Lv4	10	2	2	100	1															10																																1															
Demonic Aura Lv5	10	2	2	100	1															10																																1															
Demonic Aura Lv6	10	2	2	100	1															10																																1															
Demonic Aura Lv7	10	2	2	100	1															10																																4															
<Title> Ele/Dim 3	10	2	2	100	1															10														4																			1	1													
<Title> Ele/Dim 4	10	2	2	100	1															10														4																			1	1													
<Title> Ele/Dim 5	10	2	2	100	1															10														4																			1	1													
<Title> Phys Damage 1	10	2	2	100	1															10																																	1	1													
<Title> Phys Damage 2	10	2	2	100	1															10																																	1	1													
<Title> Phys Damage 3	10	2	2	100	1															10														4																			1	1													
<Title> Phys Damage 4	10	2	2	100	1															10														4																			1	1													
<Title> Phys Damage 5	10	2	2	100	1															10														4																			1	1													
<Title> CritDps 1	10	2	2	100	1															10																																	1	1													
<Title> CritDps 2	10	2	2	100	1															10																																	1	1													
Aura Lv60	10	2	2	100	1															10																																3															
Aura Lv90	10	2	2	100	1															10																																7															
Aura Lv120	10	2	2	100	1															10																																16															
<Title> CritDps 3	10	2	2	100	1															10	4																																1	1													
<Title> CritDps 4	10	2	2	100	1															10	4																																1	1													
<Title> CritDps 5	10	2	2	100	1															10	4																																1	1													
<Title> CritBurst 1	10	2	2	100	1									106						10																																	1	1													
<Title> CritBurst 2	10	2	2	100	1									106						10																																	1	1													
<Title> CritBurst 3	10	2	2	100	1									106						10																																	1	1													
Serazaran4Lv_Great	210	2	2	100	1															10																										8		2				1		1					1								
<Summon>Serazaran4Lv_Great																																																																			
<Title> CritBurst 4	10	2	2	100	1									106						10																																	1	1													
<Title> CritBurst 5	10	2	2	100	1									106						10																																	1	1													
<Title> TankCast 1	10	2	2	100	1															10																																	1	1													
<Title> TankCast 2	10	2	2	100	1															10																																	1	1													
doubt_ExpDrop	10	2	2	100	1																																											2			1	13		1													
<Title> TankCast 3	10	2	2	100	1												8			10																																	1	1													
<Title> TankCast 4	10	2	2	100	1												8			10																																	1	1													
Super_Talisman	10	2	2	100	1																																											2			1	14		1													
<Title>Warriors Soul	20010	2	2	101	201															10																																4	1	1													
bless of kantra	10	2	2	100	1															10																																7															
<Title> TankCast 5	10	2	2	100	1												8			10																																	1	1													
<Title> TankCrit 1	10	2	2	100	1															10				4																													1	1													
<Title> TankCrit 2	10	2	2	100	1															10				4																													1	1													
<Title> TankCrit 3	10	2	2	100	1												8			10				4																													1	1													
Returnavatar	10	2	2	100	1		1000													10																			1									2				7		1													
ReturnTalisman	10	2	2	100	1																																											2			1	3		1													
<Title> TankCrit 4	10	2	2	100	1												8			10				4																													1	1													
<Title> TankCrit 5	10	2	2	100	1												8			10				4																													1	1													
<Title> 2- First Title_1765	10	2	2	100	1															10																																	1	1													
<Title> 2-First Title	10	2	2	100	1															10																																	1	1													
<Title> 2-Cast1	10	2	2	100	1															10																																	1	1													
<Title> 2-Cast2	10	2	2	100	1															10																																	1	1													
<Title> 2-Cast3	10	2	2	100	1															10														4																			1	1													
<Title> 2-Cast4	10	2	2	100	1															10														4																			1	1													
<Title> 2-Cast5	10	2	2	100	1															10														4																			1	1													
<Title> 2-Crit 1	10	2	2	100	1									106						10																																	1	1													
<Title> 2-Crit 2	10	2	2	100	1									106						10																																	1	1													
<Title> 2-Crit 3	10	2	2	100	1									106						10	4																																1	1													
<Title> 2-Crit 4	10	2	2	100	1									106						10	4																																1	1													
<Title> 2-Crit 5	10	2	2	100	1									106						10	4																																1	1													
<Title> 2-Tank 1	10	2	2	100	1															10																																	1	1													
<Title> 2-Tank 2	10	2	2	100	1															10																																	1	1													
<Title> 2-Tank 3	10	2	2	100	1												8			10																																	1	1													
<Title> 2-Tank 4	10	2	2	100	1												8			10																																	1	1													
<Title> 2-Tank 5	10	2	2	100	1												8			10																																	1	1													
Talisman of Awakening 100_1782	10	2	2	100	1																																											2			1	3		1													
Yanus Talisman of Growth LV1	20010	2	2	100	1																																											2			1	1		1													
Yanus Talisman of Growth LV2	20010	2	2	100	1																																											2			1	1		1													
Yanus Talisman of Growth LV3	20010	2	2	100	1																																											2			1	1		1													
Yanus Talisman of Growth LV4	20010	2	2	100	1																																											2			1	1		1													
Yanus Talisman of Growth LV5	20010	2	2	100	1																																											2			1	1		1													
Yanus Talisman of Growth LV6	20010	2	2	100	1																																											2			1	1		1													
Yanus Talisman of Growth LV7	20010	2	2	100	1																																											2			1	1		1													
Yanus Talisman of Growth LV8	20010	2	2	100	1																																											2			1	1		1													
Yanus Talisman of Growth LV9	20010	2	2	100	1																																											2			1	1		1													
Yanus Talisman of Growth LV10	20010	2	2	100	1																																											2			1	1		1													
Yanus Talisman of Treasure LV1	20010	2	2	100	1																																											2			1	12		1													
Yanus Talisman of Treasure LV2	20010	2	2	100	1																																											2			1	12		1													
Yanus Talisman of Treasure LV3	20010	2	2	100	1																																											2			1	12		1													
Yanus Talisman of Treasure LV4	20010	2	2	100	1																																											2			1	12		1													
Yanus Talisman of Treasure LV5	20010	2	2	100	1																																											2			1	12		1													
Yanus Talisman of Treasure LV6	20010	2	2	100	1																																											2			1	12		1													
Yanus Talisman of Treasure LV7	20010	2	2	100	1																																											2			1	12		1													
Yanus Talisman of Treasure LV8	20010	2	2	100	1																																											2			1	12		1													
Yanus Talisman of Treasure LV9	20010	2	2	100	1																																											2			1	12		1													
Yanus Talisman of Treasure LV10	20010	2	2	100	1																																											2			1	12		1													
Elixir of Accuracy	10	2	2	100	1															10																																															
Elixir of Critical Hit	10	2	2	100	1		1000							106						10																																															
Elixir of Magic Attack	10	2	2	100	1															10																																															
Elixir of Block	10	2	2	100	1															10																																															
Elixir of Physical Resistance	10	2	2	100	1															10				4																																											
Elixir of Magical Resistance	10	2	2	100	1															10																																															
Elixir of Stun Resistance	10	2	2	100	1												8			10																																															
Elixir of Fighting Spirit	10	2	2	100	1															10																																															
Elixir of Cold-hearted Spirit	10	2	2	100	1															10																																															
Elixir of lethality	10	2	2	100	1															10																																															
Elixir of Immortality	10	2	2	100	1												8			10				4																																											
Super Compound Potion	10	2	2	100	1		1000							106						10																												2			1			1													
Super Lens Stone Plus	10	2	2	100	1															10																								4				2			1		1	1													
<Title>Warrior Of Chantra	20010	2	2	101	201		1000													10																																	1	1													
<Title>Hero Of  Chantra	20010	2	2	101	201		1000													10																																	1	1													
Superior3	10	2	2	100	1		1000													10																			1									2				7		1													
Angry Candy	10	2	2	100	1															10																																															
Gloomy Candy	10	2	2	100	1															10																																															
Smiling Pumpkin Head	10	2	2	100	1		1000													10																												2				7		1													
Angry Pumpkin Head	10	2	2	100	1		1000													10																												2				7		1													
Weeping  Pumpkin Head	10	2	2	100	1		1000													10																												2				7		1													
The Royal Cloak	10	2	2	100	1		1000													10																			1									2						1													
<Title> Ultimate Slaughter	20010	2	2	101	201															10																																28	1	1													
